"","Antal laddhybrider","Antal elbilar","Antal laddbara fordon","Laddbara fordon/capita","Antal laddpunkter","Antal laddstationer","DC laddstationer","LP/capita","LP/Personbil","Andel av bilbestånd","CPEV"
"STAFFANSTORP","459","689","1170","4.37","30","5","1","0.11","0.23","8.9","0.03"
"STENUNGSUND","521","921","1483","5.32","36","11","4","0.13","0.25","9.95","0.02"
"STOCKHOLM","58219","50669","114818","11.66","6679","290","57","0.68","1.85","30.19","0.06"
"STORFORS","59","42","104","2.68","15","4","2","0.39","0.6","4.02","0.14"
"STORUMAN","18","45","68","1.18","35","11","4","0.61","0.98","1.76","0.51"
"STRÄNGNÄS","715","958","1736","4.51","80","11","3","0.21","0.41","8.56","0.05"
"STRÖMSTAD","266","434","723","5.44","336","29","11","2.53","4.67","9.74","0.46"
"STRÖMSUND","40","54","100","0.88","29","11","5","0.25","0.41","1.32","0.29"
"SUNDBYBERG","1669","1176","2891","5.35","26","5","1","0.05","0.16","17.53","0.01"
"SUNDSVALL","2029","1926","4169","4.2","258","55","11","0.26","0.51","7.75","0.06"
"SUNNE","210","158","378","2.82","22","6","3","0.16","0.26","4.28","0.06"
"SURAHAMMAR","153","144","299","2.98","6","1","0","0.06","0.11","5.22","0.02"
"SVALÖV","136","279","427","2.95","20","4","0","0.14","0.24","5.04","0.05"
"SVEDALA","352","597","960","4.12","13","4","1","0.06","0.11","8.01","0.01"
"SVENLJUNGA","153","197","370","3.42","0","0","0","0.0","0.0","5.55","0.0"
"SÄFFLE","212","139","360","2.36","15","6","1","0.1","0.17","3.93","0.04"
"SÄTER","142","189","343","3.04","8","3","1","0.07","0.12","4.76","0.02"
"SÄVSJÖ","141","161","308","2.62","12","6","0","0.1","0.18","4.6","0.04"
"SÖDERHAMN","338","380","753","2.98","43","6","5","0.17","0.3","5.02","0.06"
"SÖDERKÖPING","266","318","604","4.07","49","16","0","0.33","0.6","7.18","0.08"
"SÖDERTÄLJE","4694","7520","12877","12.57","89","22","8","0.09","0.18","24.72","0.01"
"SÖLVESBORG","246","285","551","3.15","30","9","3","0.17","0.3","5.29","0.05"
"TANUM","182","329","524","4.03","118","11","3","0.91","1.49","6.43","0.23"
"TIBRO","133","200","336","2.95","41","9","0","0.36","0.65","5.29","0.12"
"TIDAHOLM","118","213","349","2.72","5","2","1","0.04","0.07","4.41","0.01"
"TIERP","201","299","524","2.45","13","3","1","0.06","0.11","4.42","0.02"
"TIMRÅ","234","295","551","3.1","18","6","1","0.1","0.18","5.16","0.03"
"TINGSRYD","182","203","406","3.3","45","8","0","0.37","0.61","5.21","0.11"
"TJÖRN","253","493","761","4.68","20","5","0","0.12","0.21","7.84","0.03"
"TOMELILLA","211","260","502","3.63","16","5","0","0.12","0.2","5.89","0.03"
"TORSBY","151","113","273","2.39","65","17","2","0.57","0.83","3.37","0.24"
"TORSÅS","73","93","167","2.37","6","2","0","0.09","0.14","3.77","0.04"
"TRANEMO","182","235","434","3.63","23","7","0","0.19","0.33","5.99","0.05"
"TRANÅS","334","318","700","3.72","21","6","4","0.11","0.23","7.01","0.03"
"TRELLEBORG","645","914","1596","3.42","79","16","1","0.17","0.33","6.58","0.05"
"TROLLHÄTTAN","1158","1782","3060","5.16","253","29","1","0.43","0.91","10.56","0.08"
"TROSA","280","387","683","4.63","56","16","0","0.38","0.76","9.03","0.08"
"TYRESÖ","1024","1048","2122","4.31","21","3","3","0.04","0.12","11.53","0.01"
"TÄBY","2387","2659","5117","6.81","99","14","5","0.13","0.32","16.18","0.02"
"TÖREBODA","121","119","261","2.84","5","3","0","0.05","0.09","4.49","0.02"
