		2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018		3. Är det styrande partiet eller koalitionen av partier i majoritet?	4. Från vilket parti kommer kommun-/landstings-/regionstyrelsens ordförande?		5. Vad heter kommun-/ landstings-/regionstyrelsens tillträdande ordförande?	Kön KSO		6. Från vilket parti kommer kommun-/landstings-/regionfullmäktiges ordförande?		7. Vad heter KFO?	Kön KFO	Är det något angående er kommuns/landstings/regions styrelse eller fullmäktige som bör kommenteras eller förklaras gör det gärna här.	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	
Mullsjö kommun	642		C	L	KD	S						,C,L,KD,S,,,,,	BL		Majoritet	S		Linda Danielsson	K		S		Pernilla Jovanovic	K						S	V	MP				,,,,S,V,MP,,,	V
Habo kommun	643	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Susanne Wahlström	K		M		Lisbet Bärenholdt	K			C		KD	S		MP				,C,,KD,S,,MP,,,	BL
Gislaveds kommun	662	M	C	L	KD							M,C,L,KD,,,,,,	B	Styrs av en majoritet C,M,KD,L med valteknisk samverkan Westbopartiet. Westbopartiet slutar stödja styret under mandatperioden.	Minoritet	C		Carina Johansson	K		C		Lars-Ove Bengtsson	M		M				S		MP				M,,,,S,,MP,,,	BL
Vaggeryds kommun	665	M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B		Majoritet	M		Gert Jonsson	M		M		Christer Holmgren	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Jönköpings kommun	680		C	L		S		MP				,C,L,,S,,MP,,,	BL		Minoritet	C		Ann-Marie Nilsson	K		S		Tord Sundqvist	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Nässjö kommun	682		C		KD	S						,C,,KD,S,,,,,	BL		Minoritet	S		Anna-Carin Magnusson	K		S		Kurt Johansson	M		M	C			S	V					M,C,,,S,V,,,,	BL
Värnamo kommun	683	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	C		Mikael Karlsson	M		S		Pär AJ Persson	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Sävsjö kommun	684		C		KD	S						,C,,KD,S,,,,,	BL		Majoritet	KD		Stefan Gustafsson	M		KD		Per Danielsson	M			C		KD	S						,C,,KD,S,,,,,	BL
Vetlanda kommun	685		C	L	KD	S						,C,L,KD,S,,,,,	BL	M lämnade majoritetsstyret och S och C bildar nu en ny majoritet tillsammans med KD och L 201123.	Majoritet	S		Henrik Tvarnö	M		C		Carina G Hördegård	K						S				ÖP	Vetlanda Framåtanda	,,,,S,,,,ÖP,	V
Eksjö kommun	686	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	C		Annelie Hägg	K		M		Mats Danielsson	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Tranås kommun	687	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Anders Wilander	M		M		Jennie Saxfeldt	K		M	C	L	KD							M,C,L,KD,,,,,,	B
Uppvidinge kommun	760	M				S	V					M,,,,S,V,,,,	BL		Majoritet	S		Niklas Jonsson	M		S		Peter Skoog Lindman	M			C		KD							,C,,KD,,,,,,	B
Lessebo kommun	761					S						,,,,S,,,,,	V		Minoritet	S		Lars Altgård	M		S		Monica Widnemark	K	Valtekniskt samarbete med C och V.					S						,,,,S,,,,,	V
Tingsryds kommun	763				KD	S	V					,,,KD,S,V,,,,	BL	Styret M,KD,S spricker i april 2020. S,KD,V har 2020-05-07 deklarerat att de avser att styra kommunen som den största politiska minoriteten i KF. Tillsammans innehar partierna 18 av fullmäktiges 41 mandat.Styret inleder valtekniskt samarbete med C som har 9/41 i KF.	Minoritet	S		Mikael Jeansson	M		M		Patrick Ståhlgren	M		M				S						M,,,,S,,,,,	BL
Alvesta kommun	764		C			S	V					,C,,,S,V,,,,	BL		Minoritet	S		Per Ribacke	M		C		Hagart Valtersson	M			C			S		MP				,C,,,S,,MP,,,	BL
Älmhults kommun	765	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	C		Elizabeth Peltola	K		M		Bo Mazetti-Nissen	M						S	V	MP				,,,,S,V,MP,,,	V
Markaryds kommun	767	M	C		KD							M,C,,KD,,,,,,	B		Minoritet	KD		Bengt Germundsson	M		KD		Samuel Wombell	M		M	C		KD							M,C,,KD,,,,,,	B
Växjö kommun	780	M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B		Majoritet	M		Anna Tenje	K		M		Bo Frank	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Ljungby kommun	781	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Magnus Gunnarsson	M		M		Ann-Charlotte Wiesel	K		M	C	L								M,C,L,,,,,,,	B
Högsby kommun	821	M	C		KD						det är ett minoritetsstyre	M,C,,KD,,,,,,	B		Minoritet	C		Stihna Johansson Evertsson	K		C		Per Gröön	M		M	C		KD					ÖP	vi hade minoritetsstyre	M,C,,KD,,,,,ÖP,	B
Torsås kommun	834	M		L	KD	S	V					M,,L,KD,S,V,,,,	BL		Majoritet	S		Henrik Nilsson Bokor	M		S		Ann-Britt Mårtensson	K		M		L	KD	S	V	MP				M,,L,KD,S,V,MP,,,	BL
Mörbylånga kommun	840		C			S	V					,C,,,S,V,,,,	BL		Majoritet	S		Matilda Wärenfalk	K		C		Kjell Magnusson	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Hultsfreds kommun	860	M	C		KD							M,C,,KD,,,,,,	B		Majoritet	C		Lars Rosander	M		KD		Anders Andersson	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Mönsterås kommun	861	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	C		Anders Johansson	M		C		Jens Robertsson	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Emmaboda kommun	862	M	C		KD					ÖP	BA, Bästa Alternativet	M,C,,KD,,,,,ÖP,	B		Minoritet	C		Johan Jonsson	M		ÖP	BA, Bästa Alternativet	Bo Eddie Rossbol	M						S		MP				,,,,S,,MP,,,	V
Kalmar kommun	880		C			S	V					,C,,,S,V,,,,	BL		Majoritet	S		Johan Persson	M		S		Roger Kaliff	M			C			S	V					,C,,,S,V,,,,	BL
Nybro kommun	881	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	C		Christina Davidson	K		S		Börje Slättman	M		M	C	L	KD					ÖP	SPI	M,C,L,KD,,,,,ÖP,	B
Oskarshamns kommun	882	M				S						M,,,,S,,,,,	BL		Majoritet	S		Andreas Erlandsson	M		S		Yvonne Bergvall	K			C			S	V	MP				,C,,,S,V,MP,,,	BL
Västerviks kommun	883		C			S		MP				,C,,,S,,MP,,,	BL		Minoritet	S		Dan Nilsson	M		L		Sverker Thorén	M			C			S		MP				,C,,,S,,MP,,,	BL
Vimmerby kommun	884	M	C		KD							M,C,,KD,,,,,,	B		Majoritet	C		Jacob Käll	M		C		Leif Larsson	M		M				S						M,,,,S,,,,,	BL
Borgholms kommun	885		C			S	V					,C,,,S,V,,,,	BL		Majoritet	S		Ilko Corkovic	M		S		Eva-Lena Israelsson	K						S	V			ÖP	Framtid Öland	,,,,S,V,,,ÖP,	V
Region Gotland	980	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	C		Eva Nypelius	K		M		Inger Harlevi	K						S	V	MP				,,,,S,V,MP,,,	V
Olofströms kommun	1060				KD	S	V					,,,KD,S,V,,,,	BL		Majoritet	S		Morgan Bengtsson	M		S		Jan Björkman	M						S						,,,,S,,,,,	V
Karlskrona kommun	1080		C	L		S						,C,L,,S,,,,,	BL		Minoritet	S		Sandra Bizzozero	K		L		Gunilla Ekelöf	K			C	L		S						,C,L,,S,,,,,	BL
Ronneby kommun	1081	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Roger Fredriksson	M		L		Nils Ingmar Thorell	M		M	C	L	KD					ÖP	Ronnebypartiet (RP)	M,C,L,KD,,,,,ÖP,	B
